,token,(n)heads_token,freq,mark,note,fix,ex_ref,ex,ex_node,ex_verse
624,ל.ימים.מ.ימים,ימים,1,b,cleft TP,define construction,2_Chronicles 21:19,לְיָמִ֣ים׀ מִיָּמִ֡ים ,900046,וַיְהִ֣י לְיָמִ֣ים׀ מִיָּמִ֡ים וּכְעֵת֩ צֵ֨את הַקֵּ֜ץ לְיָמִ֣ים שְׁנַ֗יִם יָצְא֤וּ מֵעָיו֙ עִם־חָלְיֹ֔ו וַיָּ֖מָת בְּתַחֲלֻאִ֣ים רָעִ֑ים וְלֹא־עָ֨שׂוּ לֹ֥ו עַמֹּ֛ו שְׂרֵפָ֖ה כִּשְׂרֵפַ֥ת אֲבֹתָֽיו׃ 
667,ל.פי,פי,1,b,cleft TP with missing infiinitive section,define construction,Jeremiah 29:10,לְפִ֞י ,798239,כִּֽי־כֹה֙ אָמַ֣ר יְהוָ֔ה כִּ֠י לְפִ֞י מְלֹ֧את לְבָבֶ֛ל שִׁבְעִ֥ים שָׁנָ֖ה אֶפְקֹ֣ד אֶתְכֶ֑ם וַהֲקִמֹתִ֤י עֲלֵיכֶם֙ אֶת־דְּבָרִ֣י הַטֹּ֔וב לְהָשִׁ֣יב אֶתְכֶ֔ם אֶל־הַמָּקֹ֖ום הַזֶּֽה׃ 
686,ל.ראשׁ.אשׁמרות,ראשׁ,1,b,head should be אשׁמרות? But that also depends on whether “head” should be treated prepositionally…I have gone back and forth on this.,head fixed,Lamentations 2:19,לְרֹאשׁ֙ אַשְׁמֻרֹ֔ות ,873192,ק֣וּמִי׀ רֹ֣נִּי בַלַּ֗יְלָה לְרֹאשׁ֙ אַשְׁמֻרֹ֔ות שִׁפְכִ֤י כַמַּ֨יִם֙ לִבֵּ֔ךְ נֹ֖כַח פְּנֵ֣י אֲדֹנָ֑י שְׂאִ֧י אֵלָ֣יו כַּפַּ֗יִךְ עַל־נֶ֨פֶשׁ֙ עֹֽולָלַ֔יִךְ הָעֲטוּפִ֥ים בְּרָעָ֖ב בְּרֹ֥אשׁ כָּל־חוּצֹֽות׃ ס 
713,מ.ה.יום.ה.הוא.ו.הלאה,יום,1,b,missing הלאה,define construction,1_Samuel 18:9,מֵהַיֹּ֥ום הַה֖וּא וָהָֽלְאָה׃ ס ,738491,וַיְהִ֥י שָׁא֖וּל עֹויֵ֣ן אֶת־דָּוִ֑ד מֵהַיֹּ֥ום הַה֖וּא וָהָֽלְאָה׃ ס 
714,מ.ה.יום.ה.הוא.ו.מעלה,יום,2,b,missing מעלה,define construction,1_Samuel 16:13,מֵהַיֹּ֥ום הַה֖וּא וָמָ֑עְלָה ,737397,וַיִּקַּ֨ח שְׁמוּאֵ֜ל אֶת־קֶ֣רֶן הַשֶּׁ֗מֶן וַיִּמְשַׁ֣ח אֹתֹו֮ בְּקֶ֣רֶב אֶחָיו֒ וַתִּצְלַ֤ח רֽוּחַ־יְהוָה֙ אֶל־דָּוִ֔ד מֵהַיֹּ֥ום הַה֖וּא וָמָ֑עְלָה וַיָּ֣קָם שְׁמוּאֵ֔ל וַיֵּ֖לֶךְ הָרָמָֽתָה׃ ס 
720,מ.יום.ה.שׁמיני.ו.הלאה,יום,1,b,missing הלאה,define construction,Leviticus 22:27,מִיֹּ֤ום הַשְּׁמִינִי֙ וָהָ֔לְאָה ,690126,שֹׁ֣ור אֹו־כֶ֤שֶׂב אֹו־עֵז֙ כִּ֣י יִוָּלֵ֔ד וְהָיָ֛ה שִׁבְעַ֥ת יָמִ֖ים תַּ֣חַת אִמֹּ֑ו וּמִיֹּ֤ום הַשְּׁמִינִי֙ וָהָ֔לְאָה יֵרָצֶ֕ה לְקָרְבַּ֥ן אִשֶּׁ֖ה לַיהוָֽה׃ 
727,מ.ימי.ה.שׁפטים.ו.כל.ימי.מלכי.ישׂראל.ו.מלכי.יהודה,ימי,1,b,missing second ימי,head fixed,2_Kings 23:22,מִימֵי֙ הַשֹּׁ֣פְטִ֔ים וְכֹ֗ל יְמֵ֛י מַלְכֵ֥י יִשְׂרָאֵ֖ל וּמַלְכֵ֥י יְהוּדָֽה׃ ,773367,כִּ֣י לֹ֤א נַֽעֲשָׂה֙ כַּפֶּ֣סַח הַזֶּ֔ה מִימֵי֙ הַשֹּׁ֣פְטִ֔ים אֲשֶׁ֥ר שָׁפְט֖וּ אֶת־יִשְׂרָאֵ֑ל וְכֹ֗ל יְמֵ֛י מַלְכֵ֥י יִשְׂרָאֵ֖ל וּמַלְכֵ֥י יְהוּדָֽה׃ 
787,מ.קצת.ימים.עשׂרה,קצת,1,b,head should be ימים not קצת,head fixed,Daniel 1:15,מִקְצָת֙ יָמִ֣ים עֲשָׂרָ֔ה ,876389,וּמִקְצָת֙ יָמִ֣ים עֲשָׂרָ֔ה נִרְאָ֤ה מַרְאֵיהֶם֙ טֹ֔וב וּבְרִיאֵ֖י בָּשָׂ֑ר מִן־כָּל־הַיְלָדִ֔ים הָאֹ֣כְלִ֔ים אֵ֖ת פַּתְבַּ֥ג הַמֶּֽלֶךְ׃ 
793,מ.רב.ימים,רב,1,b,head should be ימים not רב,head fixed,Isaiah 24:22,מֵרֹ֥ב יָמִ֖ים ,778966,וְאֻסְּפ֨וּ אֲסֵפָ֤ה אַסִּיר֙ עַל־בֹּ֔ור וְסֻגְּר֖וּ עַל־מַסְגֵּ֑ר וּמֵרֹ֥ב יָמִ֖ים יִפָּקֵֽדוּ׃ 
807,מן.ה.יום.ה.הוא.ו.הלאה,יום,1,b,missing הלאה,define construction,Ezekiel 39:22,מִן־הַיֹּ֥ום הַה֖וּא וָהָֽלְאָה׃ ,819581,וְיָֽדְעוּ֙ בֵּ֣ית יִשְׂרָאֵ֔ל כִּ֛י אֲנִ֥י יְהוָ֖ה אֱלֹֽהֵיהֶ֑ם מִן־הַיֹּ֥ום הַה֖וּא וָהָֽלְאָה׃ 
809,מן.ה.יום.ה.זה.ו.מעלה,יום,1,b,missing מעלה,define construction,Haggai 2:15,מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה ,831733,וְעַתָּה֙ שִֽׂימוּ־נָ֣א לְבַבְכֶ֔ם מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה מִטֶּ֧רֶם שֽׂוּם־אֶ֛בֶן אֶל־אֶ֖בֶן בְּהֵיכַ֥ל יְהוָֽה׃ 
810,מן.ה.יום.ה.זה.ו.מעלה.מ.יום.עשׂרים.ו.ארבעה.ל.ה.תשׁיעי.ל.מן.ה.יום,יום.יום,1,b,missing מעלה,define construction,Haggai 2:18,מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה מִיֹּום֩ עֶשְׂרִ֨ים וְאַרְבָּעָ֜ה לַתְּשִׁיעִ֗י לְמִן־הַיֹּ֛ום ,831763,שִׂימוּ־נָ֣א לְבַבְכֶ֔ם מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה מִיֹּום֩ עֶשְׂרִ֨ים וְאַרְבָּעָ֜ה לַתְּשִׁיעִ֗י לְמִן־הַיֹּ֛ום אֲשֶׁר־יֻסַּ֥ד הֵֽיכַל־יְהוָ֖ה שִׂ֥ימוּ לְבַבְכֶֽם׃ 
